dataset,subject,uid,question,option_a,option_b,option_c,option_d,answer,text_gt
MedMCQA,general,medmcqa::validation::0,Which of the following is not true for myelinated nerve fibers:,Impulse through myelinated fibers is slower than non-myelinated fibers,Membrane currents are generated at nodes of Ranvier,Saltatory conduction of impulses is seen,Local anesthesia is effective only when the nerve is not covered by myelin sheath,A,Which of the following is not true for myelinated nerve fibers:
MedMCQA,general,medmcqa::validation::1,Which of the following is not true about glomerular capillaries'),The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,Glucose concentration in the capillaries is the same as that in glomerular filtrate,Constriction of afferent aeriole decreases the blood flow to the glomerulas,Hematocrit of the fluid leaving the capillaries is less than that of the fluid entering it,A,Which of the following is not true about glomerular capillaries')
MedMCQA,general,medmcqa::validation::2,A 29 yrs old woman with a pregnancy of 17 week has a 10 years old boy with down syndrome. She does not want another down syndrome kid; best advice to her is,No test is required now as her age is below 35 years,Ultra sound at this point of time will definitely tell her that next baby will be down syndromic or not,Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not,blood screening at this point of time will clear the exact picture,C,A 29 yrs old woman with a pregnancy of 17 week has a 10 years old boy with down syndrome. She does not want another down syndrome kid; best advice to her is
MedMCQA,general,medmcqa::validation::3,Axonal transport is:,Antegrade,Retrograde,Antegrade and retrograde,None,C,Axonal transport is:
MedMCQA,general,medmcqa::validation::4,Low insulin to glucagon ratio is seen in all of these except:,Glycogen synthesis,Glycogen breakdown,Gluconeogenesis,Ketogenesis,A,Low insulin to glucagon ratio is seen in all of these except:
MedMCQA,general,medmcqa::validation::5,Concentration of tropicamide:,0.01,0.02,0.03,0.04,A,Concentration of tropicamide:
MedMCQA,general,medmcqa::validation::6,Which of the following statements is true regarding H I N1 Influenza?,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B,People on long-term steroids cannot receive Os-eltam ivir,Category B concerns with low risk cases,Category B patients have to undergo immediate testing,A,Which of the following statements is true regarding H I N1 Influenza?
MedMCQA,general,medmcqa::validation::7,Which of the following are not a branch of external carotid Aery in Kiesselbach's plexus.,Sphenopalatine aery,Anterior ethmoidal aery,Greater palatine aery,Septal branch of superior labial aery,B,Which of the following are not a branch of external carotid Aery in Kiesselbach's plexus.
MedMCQA,general,medmcqa::validation::8,Diagnosis of the following ECG-,Ventricular bigeminy,Electrical alternans,P pulmonale,Left ventricular failure,B,Diagnosis of the following ECG-
MedMCQA,general,medmcqa::validation::9,A blue new born presents with cyanosis. The X–ray chest reveal oligaemic lung field and normal sized heart. Most likely diagnosis is –,Ebstein's anomaly,Pulmonary atresia,Transposition of great arteries,Tetralogy of fallot,B,A blue new born presents with cyanosis. The X–ray chest reveal oligaemic lung field and normal sized heart. Most likely diagnosis is –
MedMCQA,general,medmcqa::validation::10,27. The lateral spread of dental caries is facilitated mostly by the,Enamel spindles,Dentinoenamel junction,Enamel lamellae,Striae of Retzius,B,27. The lateral spread of dental caries is facilitated mostly by the
MedMCQA,general,medmcqa::validation::11,A second-year PG resident tells you to perform an ABG of a patient. All of the following are true about performing an ABG except:,"Before performing the ABG, syringe should be loaded with 0.3 cc of heparin","Normal pH, HCO. and PCO, levels may not indicate absence of an acid-base imbalance",A different site should be tried i f modified Allen's test is negative,Radial aery is the preferred site,A,A second-year PG resident tells you to perform an ABG of a patient. All of the following are true about performing an ABG except:
MedMCQA,general,medmcqa::validation::12,Respiratory rhythm generation center is located at:,Dorsal respiratory group,Pre-Botzinger complex,Ventral respiratory neurons,Pneumotaxic center,B,Respiratory rhythm generation center is located at:
MedMCQA,general,medmcqa::validation::13,Gait apraxia is seen in thromboembolic episode involving:,ACA,MCA,PCA,Posterior choroidal aery,A,Gait apraxia is seen in thromboembolic episode involving:
MedMCQA,general,medmcqa::validation::14,Heavy forces on periodontal ligament causes:,Hyalinization,Osteoclastic activity around tooth,Osteoblastic activity around tooth,Crest bone resorption,A,Heavy forces on periodontal ligament causes:
MedMCQA,general,medmcqa::validation::15,"About N. gonorrhoea, all are true except",Most common cause of urethritis in male,All stains are highly susceptible to penicillin,Wide spread axoregnic stains cause disseminated gonococcal infection,Found exclusively in human beings,B,"About N. gonorrhoea, all are true except"
MedMCQA,general,medmcqa::validation::16,"A patient who was on ventilator and being ventilated for past few days, suddenly pulls out the endotracheal tube. What is the next step of management?","Assess the patient, give bag and mask ventilation and look for spontaneous breathing",Sta bag and mask ventilation and reintubate,Sedate and reintubate,Make him sit and do physiotherapy,A,"A patient who was on ventilator and being ventilated for past few days, suddenly pulls out the endotracheal tube. What is the next step of management?"
MedMCQA,general,medmcqa::validation::17,"In a 6-month-old child, thick curd like white patch appears on the buccal mucosa. On rubbing it leaves an erythematous patch. Most likely diagnosis is:",Tuberculosis,Lichen planus,Lupus erythematous,Candidiasis,D,"In a 6-month-old child, thick curd like white patch appears on the buccal mucosa. On rubbing it leaves an erythematous patch. Most likely diagnosis is:"
MedMCQA,general,medmcqa::validation::18,Characteristic of venous blood flow of lower limb in duplex Doppler is?,Monophasic,Biphasic,Triphasic,Non phasic,A,Characteristic of venous blood flow of lower limb in duplex Doppler is?
MedMCQA,general,medmcqa::validation::19,The source of calcium ions of a calcific bridge in a tooth in which calcium hydroxide pulpotomy has been performed is:,Blood vessel borne,Derided cells,Dentin,From the calcium hydroxide,A,The source of calcium ions of a calcific bridge in a tooth in which calcium hydroxide pulpotomy has been performed is:
MedMCQA,general,medmcqa::validation::20,"2, 3-BPG binds to sites of haemoglobin and the affinity for oxygen","4, decreases","1, decreases","4, increases","1, increases",B,"2, 3-BPG binds to sites of haemoglobin and the affinity for oxygen"
MedMCQA,general,medmcqa::validation::21,Highest concentration of oxygen is delivered through?,Nasal cannula,Venturi mask,Bag and mask,Mask with reservoir,C,Highest concentration of oxygen is delivered through?
MedMCQA,general,medmcqa::validation::22,Sharpest cusp is seen in,Upper Canine,Lower Canine,Upper Premolar,Lower premolar,A,Sharpest cusp is seen in
MedMCQA,general,medmcqa::validation::23,A mother is Hbs Ag positive and anti Hbe Ag positive. Risk of transmission of Hep. B in child is:,20%,50%,0%,90%,A,A mother is Hbs Ag positive and anti Hbe Ag positive. Risk of transmission of Hep. B in child is:
MedMCQA,general,medmcqa::validation::24,"In a patient with competent lips together at rest, the lip line is opposite the tips of the upper incisors. The lip line is then described as",Average,High,Incomplete,Low,D,"In a patient with competent lips together at rest, the lip line is opposite the tips of the upper incisors. The lip line is then described as"
MedMCQA,general,medmcqa::validation::25,"A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person?",Neostigmine,Atropine,Flumazenil,Physostigmine,B,"A patient presented to emergency with overdose some drug. There were increased salivation and increased bronchial secretions. On examination, blood pressure was 88/60 mmHg. RBC esterase level is 50. What should be the treatment of this person?"
MedMCQA,general,medmcqa::validation::26,The current bar clasp design used is:,Mesio-occlusal rest,Disto-occlusal rest,Mesial or distal depending on the situation,Choice of the dentist,A,The current bar clasp design used is:
MedMCQA,general,medmcqa::validation::27,All of the following are true regarding Class-II inlay gingival margins preparation except?,Removal of week enamel rods,Increased metal burnishability,Lap sliding fit of metal margin,Margins of restoration in self-cleansable area,D,All of the following are true regarding Class-II inlay gingival margins preparation except?
MedMCQA,general,medmcqa::validation::28,Breakdown of periodontal fibres in periodontitis is due to bacterial enzyme: (OR) Which of the following bacterial products have been implicated in initiation of inflammatory periodontal disease?,Collagenase,Hyaluronidase,Coagulase,None of the above,A,Breakdown of periodontal fibres in periodontitis is due to bacterial enzyme: (OR) Which of the following bacterial products have been implicated in initiation of inflammatory periodontal disease?
MedMCQA,general,medmcqa::validation::29,"In a study, two groups of newborns are checked for their weights based on whether their mothers received food supplements or not. The appropriate test which can be used for comparing the data is:",Chi square test,Paired T-test,Student's T-test,Fischer exact test,C,"In a study, two groups of newborns are checked for their weights based on whether their mothers received food supplements or not. The appropriate test which can be used for comparing the data is:"
MedMCQA,general,medmcqa::validation::30,Which vitamin is required for glycogen Phosphorylase?,PLP,TPP,Riboflavin,Lipoic acid,A,Which vitamin is required for glycogen Phosphorylase?
MedMCQA,general,medmcqa::validation::31,A child's behaviour is traced to have dental difficulties from his mother. The most satisfactory method of handling the situation is to:,Introduce another child as a good example,Modify his fear by familiarization,Use small amounts of barbiturates,Use firmness,B,A child's behaviour is traced to have dental difficulties from his mother. The most satisfactory method of handling the situation is to:
MedMCQA,general,medmcqa::validation::32,Which of the following is the only complete cailage ring in the respiratory tree?,Cricoid cailage,Thyroid cailage,Cunieform cailage,Epiglottis,A,Which of the following is the only complete cailage ring in the respiratory tree?
MedMCQA,general,medmcqa::validation::33,Steps of intubation - arrange in sequence:- a. Head extension and flexion of neck b. Introduction of laryngoscope c. Inflation of cuff d. Check breath sounds with stethoscope e. fixation of the tube to prevent dislodgement,ABCDE,DBCEA,ACBED,CBAED,A,Steps of intubation - arrange in sequence:- a. Head extension and flexion of neck b. Introduction of laryngoscope c. Inflation of cuff d. Check breath sounds with stethoscope e. fixation of the tube to prevent dislodgement
MedMCQA,general,medmcqa::validation::34,In Erythroblastosis fetalis not involved is –,Anti C,Anti D,Anti E,Anti Lewis,D,In Erythroblastosis fetalis not involved is –
MedMCQA,general,medmcqa::validation::35,"A dentist suffered from Hepatitis B infection 3 months back. His laboratory tests are normal, but he is not allowed by the medical board to do surgical practice. He is:",Inactive carrier,Healthy carrier,Convalescent carrier,Paradoxical carrier,C,"A dentist suffered from Hepatitis B infection 3 months back. His laboratory tests are normal, but he is not allowed by the medical board to do surgical practice. He is:"
MedMCQA,general,medmcqa::validation::36,A pediatrician in a district hospital with specialization neonatal care unit calls an ophthalmologist for consultation for which of the following?,A newborn with respiratory distress,A baby born at 28 weeks of gestation,Newborn with jaundice,A newborn with bih weight 2300 grams,B,A pediatrician in a district hospital with specialization neonatal care unit calls an ophthalmologist for consultation for which of the following?
MedMCQA,general,medmcqa::validation::37,"In a child with active liver failure, the most important prognosis factor for death is –",Increasing transaminases,Increasing bilirubin,Increasing prothrombin time,Gram (–)ve sepsis,D,"In a child with active liver failure, the most important prognosis factor for death is –"
MedMCQA,general,medmcqa::validation::38,"A patient went into shock immediately after normal delivery, likely cause:",Amniotic fluid embolism,PPH,Uterine inversion,Eclampsia,C,"A patient went into shock immediately after normal delivery, likely cause:"
MedMCQA,general,medmcqa::validation::39,"A patient presented with flat topped violaceous papules, thinning of nails and onycholysis. What is the microscopic finding observed in this patient?",Prominent necrotic cell,Suprabasal split,Basal cell degeneration,Acantholysis,C,"A patient presented with flat topped violaceous papules, thinning of nails and onycholysis. What is the microscopic finding observed in this patient?"
MedMCQA,general,medmcqa::validation::40,Which of the following is not. true regarding myelopathy?,Sensory loss of facial area,Brisk jaw jerk,Brisk pectoral jerk,Urgency and incontinence of micturition,B,Which of the following is not. true regarding myelopathy?
MedMCQA,general,medmcqa::validation::41,Which of the following committees has recommended a 3-year bachelor degree in medical education for rural health service?,High level expe group of universal health program for india,Central bureau of health investigation,Srivastava committee,Sundar committee,A,Which of the following committees has recommended a 3-year bachelor degree in medical education for rural health service?
MedMCQA,general,medmcqa::validation::42,Sequential arrangement of fetal scans -,Growth scan,Triple marker,Anomalous Scan and NT scan,All,D,Sequential arrangement of fetal scans -
MedMCQA,general,medmcqa::validation::43,Which one of the following is a muscle splitting incision?,Kocher's incision,Rutherford-Morrison incision,Pfannenstiel incision,Lanz incision,D,Which one of the following is a muscle splitting incision?
MedMCQA,general,medmcqa::validation::44,Multiple canals in mandibular premolars are seen in?,Africas,Caucians,Not Recalled,Not Recalled,A,Multiple canals in mandibular premolars are seen in?
MedMCQA,general,medmcqa::validation::45,Which of the following blade angle is appropriate for scaling and root planing,A,B,C,D,B,Which of the following blade angle is appropriate for scaling and root planing
MedMCQA,general,medmcqa::validation::46,Which pa of brachial plexus do not give branches,Root,Division,Cord,Trunk,B,Which pa of brachial plexus do not give branches
MedMCQA,general,medmcqa::validation::47,"If the Rb gene phosphorylation is defective, which of the following will happen?",Cell cycle will stop at GI phase,Cell cycle will stop at G2 phase,The cell cycle will progress and the cell will divide,There will be no effect on cell cycle as for Rb gene phosphorylation is not needed,A,"If the Rb gene phosphorylation is defective, which of the following will happen?"
MedMCQA,general,medmcqa::validation::48,Cumulative index is:,Russet's periodontal index,Ramjford's periodontal index,PMA (Massler and Schlour),Gingival index (Loe and Silness),C,Cumulative index is:
MedMCQA,general,medmcqa::validation::49,The cells which will proliferate from top to bottom of villi are:,Chief cells,Goblet cells,Paneth cells,Parietal cells,C,The cells which will proliferate from top to bottom of villi are:
MedMCQA,general,medmcqa::validation::50,What is the usual weight of rabbit used in ophthalmological experiments?,0.5-1 kg,1.5-2.5 kg,5-7 kg,10-12 kg,B,What is the usual weight of rabbit used in ophthalmological experiments?
MedMCQA,general,medmcqa::validation::51,"In plasmodium vivax malaria, relapse is caused by:September 2012",Sporozoite,Schizont,Hypnozoite,Gamteocyte,C,"In plasmodium vivax malaria, relapse is caused by:September 2012"
MedMCQA,general,medmcqa::validation::52,Retraction of mandible is achieved by:,Lateral pterygoid,Temporalis,Medial pterygoid,Masseter,B,Retraction of mandible is achieved by:
