dataset,subject,uid,question,option_a,option_b,option_c,option_d,answer,text_gt
MMLU,anatomy,mmlu::anatomy::0,Which of the following terms describes the body's ability to maintain its normal state?,Anabolism,Catabolism,Tolerance,Homeostasis,D,Which of the following terms describes the body's ability to maintain its normal state?
MMLU,anatomy,mmlu::anatomy::1,Which of the following structures travel through the substance of the parotid gland?,The maxillary artery,The maxillary artery and retromandibular vein,"The maxillary artery, retromandibular vein and facial artery","The maxillary artery, retromandibular vein, facial artery and buccal branch of the mandibular nerve",B,Which of the following structures travel through the substance of the parotid gland?
MMLU,anatomy,mmlu::anatomy::2,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the,upper lobe of the lung.,middle lobe of the lung.,lower lobe of the lung.,costo-diaphragmatic recess.,C,A medical practitioner places a stethoscope over the patient's seventh right intercostal space in the mid-axillary line. The stethoscope overlies the
MMLU,anatomy,mmlu::anatomy::3,The maxillary sinus,is lined by stratified squamous epithelium.,drains into the superior meatus of the nasal cavities.,is innervated by branches of the maxillary division of the trigeminal nerve.,Receives its blood supply from the first part of the maxillary artery.,C,The maxillary sinus
MMLU,anatomy,mmlu::anatomy::4,Which of the following is flexible connective tissue that is attached to bones at the joints?,Adipose,Cartilage,Epithelial,Muscle,B,Which of the following is flexible connective tissue that is attached to bones at the joints?
MMLU,anatomy,mmlu::anatomy::5,Tonsillar tissue is commonly found,on the posterior wall of the oropharynx.,under the mucosa of the ventral surface of the tongue.,between the palatoglossal and palatopharyngeal folds.,at all three sites.,C,Tonsillar tissue is commonly found
MMLU,anatomy,mmlu::anatomy::6,The best place to listen to the general heart sound with a stethoscope is the,fifth left intercostal space in the midclavicular line.,second left intercostal space one inch from the sternum.,third left rib at its junction with the sternum.,sternum midway between the sternal angle and xiphisternum.,A,The best place to listen to the general heart sound with a stethoscope is the
MMLU,anatomy,mmlu::anatomy::7,Emissary veins connect the intracranial venous sinuses to,veins draining the scalp.,veins draining the eye.,the pterygoid venous plexus.,All of the above areas.,D,Emissary veins connect the intracranial venous sinuses to
MMLU,anatomy,mmlu::anatomy::8,Smooth muscle cells contain,actin but not myosin.,myosin but not actin.,actin and myosin arranged irregularly.,actin and myosin arranged in parallel arrays.,C,Smooth muscle cells contain
MMLU,anatomy,mmlu::anatomy::9,"Which of the following controls body temperature, sleep, and appetite?",Adrenal glands,Hypothalamus,Pancreas,Thalamus,B,"Which of the following controls body temperature, sleep, and appetite?"
MMLU,anatomy,mmlu::anatomy::10,Which one of the following is brought about by activation of sympathetic nerves?,Contraction of bronchial smooth muscle.,Dilation of the pupil of the eye.,Increase in intestinal secretion,Decrease in heart rate,B,Which one of the following is brought about by activation of sympathetic nerves?
MMLU,anatomy,mmlu::anatomy::11,The trachea,lies deep to the oesophagus.,lies superficial to the oesophagus.,is totally enclosed by cartilaginous rings.,divides at the thoracic inlet.,B,The trachea
MMLU,anatomy,mmlu::anatomy::12,Pharyngeal mucosa is innervated by the glossopharyngeal nerves because it develops from the,first pharyngeal arch.,second pharyngeal arch.,third pharyngeal arch.,fourth pharyngeal arch.,C,Pharyngeal mucosa is innervated by the glossopharyngeal nerves because it develops from the
MMLU,anatomy,mmlu::anatomy::13,A patient is most likely to experience pain due to infection of the ethmoidal air cells sinus,at the base of the skull.,on the forehead.,in the cheeks.,between the eyes.,D,A patient is most likely to experience pain due to infection of the ethmoidal air cells sinus
