dataset,subject,uid,question,option_a,option_b,option_c,option_d,answer,text_gt
MMLU,clinical_knowledge,mmlu::clinical_knowledge::0,Type I muscle fibres have the following characteristics:,"white, glycolytic, slow contracting.","white, oxidative, slow contracting.","red, oxidative, fast contracting.","red, oxidative, slow contracting.",D,Type I muscle fibres have the following characteristics:
MMLU,clinical_knowledge,mmlu::clinical_knowledge::1,Mr Wood has just returned from surgery and has severe internal bleeding. Which of the following observations would you NOT expect to find on undertaking post-operative observations?,Hypotension.,Bradycardia.,Confusion,Tachypnoea.,B,Mr Wood has just returned from surgery and has severe internal bleeding. Which of the following observations would you NOT expect to find on undertaking post-operative observations?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::2,Which of the following represents Cushing's response?,"Low blood pressure, tachycardia.","High blood pressure, tachycardia.","Low blood pressure, bradycardia.","High blood pressure, bradycardia.",D,Which of the following represents Cushing's response?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::3,How many 'true' movements are available at the hip?,4,5,6,7,C,How many 'true' movements are available at the hip?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::4,"For patients with asthma, how many times a day should a peak flow reading be taken?",Daily.,Twice a day.,Three times a week.,Once a week.,B,"For patients with asthma, how many times a day should a peak flow reading be taken?"
MMLU,clinical_knowledge,mmlu::clinical_knowledge::5,Which of the following is incorrect?,Dentures should be removed at night.,Dentures should be cleaned on removal from mouth.,Dentures should be stored in a named pot.,Dentures should be stored dry.,D,Which of the following is incorrect?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::6,Why might you choose to use a silicone catheter (as of 2020 medical knowledge)?,Because the patient does not like the others.,Because the patient is allergic to latex.,Because there are no other kinds of catheter at your disposal.,Because it is cheaper.,B,Why might you choose to use a silicone catheter (as of 2020 medical knowledge)?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::7,The recommended dose of creatine to load the muscles of a 70 kg man within one week is:,2 g/day.,5 g/day.,10 g/day.,20 g/day.,D,The recommended dose of creatine to load the muscles of a 70 kg man within one week is:
MMLU,clinical_knowledge,mmlu::clinical_knowledge::8,The coding sequences of genes are called:,extrons.,exons.,introns.,codons.,B,The coding sequences of genes are called:
MMLU,clinical_knowledge,mmlu::clinical_knowledge::9,Which of the following is true with regards to the anatomy involved in the rectal examination?,The sacrum is palpated anteriorly,The pubic bone is palpated anteriorly in both sexes,In the male the testes can be appreciated anteriorly,The cervix can sometimes be felt anteriorly in the female,D,Which of the following is true with regards to the anatomy involved in the rectal examination?
MMLU,clinical_knowledge,mmlu::clinical_knowledge::10,Using a large volume spacer will improve the deposition of medication by:,10-15%,40-60%,99-100%,30-40%,B,Using a large volume spacer will improve the deposition of medication by:
MMLU,clinical_knowledge,mmlu::clinical_knowledge::11,Which one of the following is not a use for intravenous infusions?,Administer prescribed intravenous fluid.,Administer dyes or contrast media for radiographic examinations.,Administer prescribed blood products.,To orally hydrate a patient.,D,Which one of the following is not a use for intravenous infusions?
